size,balance,noise,cost,timespan,better,base_cost,base_timespan
20,0.9,0.0,132.61,12.484,True,170.0,16.0
20,0.9,0.15,148.62,13.742,True,176.72,16.332
20,0.9,0.3,168.06,15.029,True,182.97,16.685
20,0.9,0.45,182.33,16.866,True,191.55,17.277
20,0.9,0.6,201.45,18.531,False,195.5,17.919
20,0.5,0.0,152.02,15.021,True,210.0,20.0
20,0.5,0.15,180.26,16.397,True,219.56,20.53
20,0.5,0.3,194.36,18.223,True,227.39,21.209
20,0.5,0.45,218.24,20.571,True,235.15,21.744
20,0.5,0.6,247.16,23.318,False,241.5,22.4
20,0.1,0.0,202.78,18.802,True,250.0,24.0
20,0.1,0.15,222.93,21.221,True,258.33,24.583
20,0.1,0.3,245.47,23.399,True,266.65,25.36
20,0.1,0.45,273.85,25.243,True,275.24,25.967
20,0.1,0.6,301.06,27.511,False,287.5,26.88
40,0.9,0.0,180.82,14.7,True,230.0,19.0
40,0.9,0.15,207.33,16.715,True,238.36,19.5
40,0.9,0.3,224.64,18.687,True,247.51,20.018
40,0.9,0.45,241.21,19.686,True,257.14,20.59
40,0.9,0.6,273.17,22.452,False,264.5,21.279
40,0.5,0.0,199.96,16.419,True,270.0,23.0
40,0.5,0.15,230.99,18.808,True,281.01,23.607
40,0.5,0.3,257.68,22.198,True,290.47,24.38
40,0.5,0.45,286.65,23.892,True,300.08,25.059
40,0.5,0.6,318.12,26.938,False,310.5,25.76
40,0.1,0.0,250.79,21.948,True,310.0,27.0
40,0.1,0.15,273.09,23.715,True,320.08,27.707
40,0.1,0.3,305.46,26.089,True,330.32,28.549
40,0.1,0.45,327.98,28.327,True,342.65,29.362
40,0.1,0.6,360.87,31.284,False,356.5,30.239
60,0.9,0.0,223.53,17.094,True,290.0,22.0
60,0.9,0.15,254.37,19.172,True,299.25,22.673
60,0.9,0.3,281.67,20.867,True,310.34,23.258
60,0.9,0.45,305.7,23.69,True,323.89,24.04
60,0.9,0.6,348.38,25.287,False,333.5,24.641
60,0.5,0.0,241.97,19.109,True,330.0,26.0
60,0.5,0.15,276.14,21.713,True,340.93,26.866
60,0.5,0.3,314.09,24.249,True,356.36,27.616
60,0.5,0.45,353.84,27.524,True,367.73,28.323
60,0.5,0.6,392.21,30.066,False,379.5,29.119
60,0.1,0.0,301.69,23.489,True,370.0,30.0
60,0.1,0.15,325.0,26.787,True,383.22,30.965
60,0.1,0.3,364.43,29.032,True,399.54,31.909
60,0.1,0.45,403.23,31.08,True,410.77,32.649
60,0.1,0.6,439.66,35.36,False,425.51,33.601
80,0.9,0.0,274.49,18.81,True,350.0,25.0
80,0.9,0.15,308.0,21.554,True,361.27,25.839
80,0.9,0.3,331.56,24.222,True,375.74,26.638
80,0.9,0.45,370.13,26.176,True,388.9,27.285
80,0.9,0.6,413.69,28.753,False,402.5,28.0
80,0.5,0.0,274.98,21.143,True,390.0,29.0
80,0.5,0.15,323.9,24.13,True,403.15,29.852
80,0.5,0.3,376.61,27.232,True,418.04,30.755
80,0.5,0.45,418.7,29.757,True,431.3,31.664
80,0.5,0.6,469.09,33.684,False,448.5,32.48
80,0.1,0.0,354.09,26.588,True,430.0,33.0
80,0.1,0.15,382.79,29.73,True,444.27,34.022
80,0.1,0.3,416.43,31.555,True,460.44,35.013
80,0.1,0.45,462.92,35.105,True,477.82,36.098
80,0.1,0.6,519.08,39.365,False,494.5,36.959
100,0.9,0.0,309.63,22.126,True,410.0,28.0
100,0.9,0.15,362.5,24.053,True,422.54,29.01
100,0.9,0.3,399.04,27.66,True,439.43,29.925
100,0.9,0.45,433.83,29.464,True,455.07,30.667
100,0.9,0.6,488.94,32.797,False,471.5,31.361
100,0.5,0.0,338.99,23.651,True,450.0,32.0
100,0.5,0.15,379.38,26.815,True,463.84,33.02
100,0.5,0.3,434.19,29.413,True,482.53,33.959
100,0.5,0.45,465.07,33.163,True,497.59,34.954
100,0.5,0.6,539.27,37.875,False,517.5,35.84
100,0.1,0.0,402.3,29.434,True,490.0,36.0
100,0.1,0.15,428.47,31.617,True,506.71,37.213
100,0.1,0.3,480.36,34.259,True,526.89,38.288
100,0.1,0.45,537.21,39.198,True,545.58,39.439
100,0.1,0.6,560.68,42.159,True,563.5,40.32
