size,balance,noise,disruptions,timespan,base_disruptions,base_timespan,better
20,0.9,0.0,2.16,10.254,3.15,15.0,True
20,0.9,0.15,2.82,11.823,3.6,15.225,True
20,0.9,0.3,3.3,12.762,4.05,15.45,True
20,0.9,0.45,4.11,13.863,4.5,15.675,True
20,0.9,0.6,5.06,16.393,4.95,15.9,False
20,0.5,0.0,2.34,9.386,3.75,15.0,True
20,0.5,0.15,2.87,10.43,4.2,15.225,True
20,0.5,0.3,3.68,12.157,4.65,15.45,True
20,0.5,0.45,4.54,14.177,5.1,15.675,True
20,0.5,0.6,5.79,16.781,5.55,15.9,False
20,0.1,0.0,3.15,10.437,4.35,15.0,True
20,0.1,0.15,3.87,12.441,4.8,15.225,True
20,0.1,0.3,4.66,13.343,5.25,15.45,True
20,0.1,0.45,5.3,14.822,5.7,15.675,True
20,0.1,0.6,6.33,16.751,6.15,15.9,False
40,0.9,0.0,2.91,12.322,4.15,17.4,True
40,0.9,0.15,3.92,13.64,4.87,17.685,True
40,0.9,0.3,4.65,15.101,5.59,17.97,True
40,0.9,0.45,5.66,16.783,6.31,18.255,True
40,0.9,0.6,7.34,19.341,7.03,18.54,False
40,0.5,0.0,2.96,11.003,4.75,17.4,True
40,0.5,0.15,3.69,11.786,5.47,17.685,True
40,0.5,0.3,4.83,14.047,6.19,17.97,True
40,0.5,0.45,6.17,16.033,6.91,18.255,True
40,0.5,0.6,8.05,19.335,7.63,18.54,False
40,0.1,0.0,3.96,12.69,5.35,17.4,True
40,0.1,0.15,5.13,14.033,6.07,17.685,True
40,0.1,0.3,5.91,15.734,6.79,17.97,True
40,0.1,0.45,7.11,17.181,7.51,18.255,True
40,0.1,0.6,8.48,19.633,8.23,18.54,False
60,0.9,0.0,3.6,13.448,5.15,19.8,True
60,0.9,0.15,4.61,15.638,6.14,20.145,True
60,0.9,0.3,5.9,17.311,7.13,20.49,True
60,0.9,0.45,7.52,19.182,8.12,20.835,True
60,0.9,0.6,9.45,21.644,9.11,21.18,False
60,0.5,0.0,3.55,11.839,5.75,19.8,True
60,0.5,0.15,4.55,13.814,6.74,20.145,True
60,0.5,0.3,6.05,15.86,7.73,20.49,True
60,0.5,0.45,7.92,18.392,8.72,20.835,True
60,0.5,0.6,10.3,21.944,9.71,21.18,False
60,0.1,0.0,4.44,14.421,6.35,19.8,True
60,0.1,0.15,5.99,16.875,7.34,20.145,True
60,0.1,0.3,7.23,18.151,8.33,20.49,True
60,0.1,0.45,8.77,19.905,9.32,20.835,True
60,0.1,0.6,10.64,21.74,10.31,21.18,False
80,0.9,0.0,4.36,15.292,6.15,22.2,True
80,0.9,0.15,5.9,17.258,7.41,22.605,True
80,0.9,0.3,7.26,18.8,8.67,23.01,True
80,0.9,0.45,9.1,21.817,9.93,23.415,True
80,0.9,0.6,11.73,24.555,11.19,23.82,False
80,0.5,0.0,4.08,14.158,6.75,22.2,True
80,0.5,0.15,5.37,15.172,8.01,22.605,True
80,0.5,0.3,7.18,18.004,9.27,23.01,True
80,0.5,0.45,9.49,21.21,10.53,23.415,True
80,0.5,0.6,12.5,24.429,11.79,23.82,False
80,0.1,0.0,5.19,15.872,7.35,22.2,True
80,0.1,0.15,7.07,18.444,8.61,22.605,True
80,0.1,0.3,8.52,20.06,9.87,23.01,True
80,0.1,0.45,10.82,22.471,11.13,23.415,True
80,0.1,0.6,12.78,24.666,12.39,23.82,False
100,0.9,0.0,4.98,17.264,7.15,24.6,True
100,0.9,0.15,6.75,18.992,8.68,25.065,True
100,0.9,0.3,8.39,21.096,10.21,25.53,True
100,0.9,0.45,10.41,23.681,11.74,25.995,True
100,0.9,0.6,13.8,27.162,13.27,26.46,False
100,0.5,0.0,4.87,15.548,7.75,24.6,True
100,0.5,0.15,6.27,16.963,9.28,25.065,True
100,0.5,0.3,8.33,19.969,10.81,25.53,True
100,0.5,0.45,10.75,22.586,12.34,25.995,True
100,0.5,0.6,14.36,27.799,13.87,26.46,False
100,0.1,0.0,6.24,18.104,8.35,24.6,True
100,0.1,0.15,8.08,20.492,9.88,25.065,True
100,0.1,0.3,10.39,22.267,11.41,25.53,True
100,0.1,0.45,12.39,24.207,12.94,25.995,True
100,0.1,0.6,15.11,28.071,14.47,26.46,False
